
TRANSPORT ALL
NO 1 97.53 3.621 0.0 1.76 4.0
NH3 2 481.0 2.92 1.47 0.0 10.0
H2 1 38.0 2.92 0.0 0.79 280.0
O2 1 107.4 3.458 0.0 1.6 3.8
H 0 145.0 2.05 0.0 0.0 0.0
O 0 80.0 2.75 0.0 0.0 0.0
OH 1 80.0 2.75 0.0 0.0 0.0
!(*)[dat]
HO2 2 107.4 3.458 0.0 0.0 1.0
H2O 2 572.4 2.605 1.844 0.0 4.0
H2O2 2 107.4 3.458 0.0 0.0 3.8
NH2 2 80.0 2.65 0.0 2.26 4.0
NH 1 80.0 2.65 0.0 0.0 4.0
!(*)[dat]
N 0 71.4 3.298 0.0 0.0 0.0
!(*)[dat]
NNH 2 71.4 3.798 0.0 0.0 1.0
!=HNOH[dat]
NH2OH 2 116.7 3.492 0.0 0.0 1.0
! JAM[dat]
H2NO 2 116.7 3.492 0.0 0.0 1.0
! JAM[dat]
HNOH 2 116.7 3.492 0.0 0.0 1.0
!(*)[dat]
HNO 2 116.7 3.492 0.0 0.0 1.0
!=HNO[dat]
HON 2 116.7 3.492 0.0 0.0 1.0
!(*)[dat]
NO2 2 200.0 3.5 0.0 0.0 1.0
!=HNNO[dat]
HONO 2 232.4 3.828 0.0 0.0 1.0
!(OIS)=HSO2[dat]
HNO2 2 252.0 4.29 0.0 0.0 1.0
!=SO3[dat]
NO3 2 378.4 4.175 0.0 0.0 1.0
!=SO3=HNO3[dat]
HONO2 2 378.4 4.175 0.0 0.0 1.0
!(*)[dat]
N2O 1 232.4 3.828 0.0 0.0 1.0
N2H4 2 205.0 4.23 0.0 4.26 1.5
!(*)[dat]
N2H3 2 200.0 3.9 0.0 0.0 1.0
!(*)[dat]
N2H2 2 71.4 3.798 0.0 0.0 1.0
!=N2H2[dat]
H2NN 2 71.4 3.798 0.0 0.0 1.0
! Supporting material of Tian et al. Combust. Flame 2009, 156, 1413-26.[dat]
! edited 20/06/00[dat]
!from Konnov06[dat]
AR 0 136.5 3.33 0.0 0.0 0.0
!(*)[dat]
HE 0 10.2 2.576 0.0 0.0 0.0
N2 1 97.53 3.621 0.0 1.76 4.0
! *[dat]
C 0 71.4 3.298 0.0 0.0 0.0
CH 1 80.0 2.75 0.0 0.0 0.0
CH2 1 144.0 3.8 0.0 0.0 0.0
CH2(S) 1 144.0 3.8 0.0 0.0 0.0
CH3 1 144.0 3.8 0.0 0.0 0.0
CH4 2 141.4 3.746 0.0 2.6 13.0
CO 1 98.1 3.65 0.0 1.95 1.8
CO2 1 244.0 3.763 0.0 2.65 2.1
HCO 2 498.0 3.59 0.0 0.0 0.0
CH2O 2 498.0 3.59 0.0 0.0 2.0
CH2OH 2 417.0 3.69 1.7 0.0 2.0
CH3O 2 417.0 3.69 1.7 0.0 2.0
! SVE[dat]
CH3OH 2 481.8 3.626 0.0 0.0 1.0
C2H 1 209.0 4.1 0.0 0.0 2.5
C2H2 1 209.0 4.1 0.0 0.0 2.5
! *[dat]
C2H3 2 209.0 4.1 0.0 0.0 1.0
C2H4 2 280.8 3.971 0.0 0.0 1.5
C2H5 2 252.3 4.302 0.0 0.0 1.5
C2H6 2 252.3 4.302 0.0 0.0 1.5
! *[dat]
HCCO 2 150.0 2.5 0.0 0.0 1.0
CH2CO 2 436.0 3.97 0.0 0.0 2.0
HCCOH 2 436.0 3.97 0.0 0.0 2.0
! OIS[dat]
CN 1 75.0 3.856 0.0 0.0 1.0
! OIS[dat]
HCN 1 569.0 3.63 0.0 0.0 1.0
! os/jm[dat]
H2CN 1 569.0 3.63 0.0 0.0 1.0
! *[dat]
HCNN 2 150.0 2.5 0.0 0.0 1.0
! JAM[dat]
HCNO 2 232.4 3.828 0.0 0.0 1.0
! JAM[dat]
HOCN 2 232.4 3.828 0.0 0.0 1.0
! OIS[dat]
HNCO 2 232.4 3.828 0.0 0.0 1.0
! OIS[dat]
NCO 1 232.4 3.828 0.0 0.0 1.0
C3H7 2 266.8 4.982 0.0 0.0 1.0
C3H8 2 266.8 4.982 0.0 0.0 1.0
CH2CHO 2 436.0 3.97 0.0 0.0 2.0
CH3CHO 2 436.0 3.97 0.0 0.0 2.0
END
